2011-10-11, 0.85, 0.85, 0.85, 0.85, 2500.0, 0.85, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-04-17, 0.00128, 0.00128, 0.0012, 0.0012, 170000.0, 0.0012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-04-20, 0.0012, 0.0012, 0.0012, 0.0012, 2000.0, 0.0012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-04-21, 0.00127, 0.00127, 0.0012, 0.0012, 78000.0, 0.0012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-04-22, 0.0012, 0.0012, 0.0012, 0.0012, 0.0, 0.0012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-04-23, 0.0012, 0.0012, 0.0012, 0.0012, 0.0, 0.0012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-04-24, 0.0012, 0.0012, 0.0012, 0.0012, 0.0, 0.0012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-04-27, 0.0012, 0.0012, 0.0012, 0.0012, 0.0, 0.0012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-04-28, 0.0012, 0.0012, 0.0012, 0.0012, 0.0, 0.0012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-04-29, 0.0011, 0.0011, 0.0011, 0.0011, 3900.0, 0.0011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-04-30, 0.0011, 0.0011, 0.0011, 0.0011, 60000.0, 0.0011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-01, 0.0011, 0.0011, 0.0011, 0.0011, 0.0, 0.0011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-04, 0.0011, 0.0011, 0.0011, 0.0011, 0.0, 0.0011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-05, 0.00155, 0.00155, 0.00155, 0.00155, 1000.0, 0.00155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-06, 0.0013, 0.0015, 0.0013, 0.0015, 1000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-07, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-08, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-11, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-12, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-13, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-14, 0.0015, 0.0015, 0.0015, 0.0015, 4500.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-15, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-18, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-19, 0.00159, 0.0016, 0.00155, 0.00155, 45000.0, 0.00155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-20, 0.00155, 0.00155, 0.00155, 0.00155, 0.0, 0.00155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-21, 0.0015, 0.0015, 0.0015, 0.0015, 200.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-22, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-25, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-26, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-27, 0.00151, 0.00151, 0.0015, 0.0015, 21800.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-28, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-05-29, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-01, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-02, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-03, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-04, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-05, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-08, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-09, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-10, 0.0015, 0.0015, 0.0015, 0.0015, 2000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-11, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-12, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-15, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-16, 0.0015, 0.0015, 0.0015, 0.0015, 1300.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-17, 0.0015, 0.0015, 0.0015, 0.0015, 2000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-18, 0.0015, 0.0015, 0.0015, 0.0015, 500.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-19, 0.00151, 0.00151, 0.0015, 0.0015, 6000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-22, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-23, 0.0015, 0.0015, 0.0015, 0.0015, 500.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-24, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-25, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-26, 0.0015, 0.0015, 0.0015, 0.0015, 3600.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-29, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-06-30, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-01, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-02, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-03, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-06, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-07, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-08, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-09, 0.0015, 0.0015, 0.0015, 0.0015, 5200.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-10, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-13, 0.0015, 0.00154, 0.0015, 0.00154, 51900.0, 0.00154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-14, 0.0015, 0.0015, 0.0015, 0.0015, 125000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-15, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-16, 0.00154, 0.00154, 0.0015, 0.0015, 500.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-17, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-20, 0.0015, 0.0015, 0.0015, 0.0015, 100.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-21, 0.00186, 0.0019, 0.0015, 0.0015, 10200.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-22, 0.0015, 0.0015, 0.0015, 0.0015, 281400.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-23, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-24, 0.00186, 0.0019, 0.00186, 0.0019, 15000.0, 0.0019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-27, 0.0019, 0.0019, 0.0019, 0.0019, 0.0, 0.0019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-28, 0.0019, 0.0019, 0.0019, 0.0019, 0.0, 0.0019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-29, 0.0015, 0.0015, 0.0015, 0.0015, 1000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-30, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-07-31, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-03, 0.0015, 0.0015, 0.0015, 0.0015, 1000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-04, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-05, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-06, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-07, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-10, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-11, 0.0015, 0.0015, 0.0015, 0.0015, 201000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-12, 0.0015, 0.0015, 0.0015, 0.0015, 300.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-13, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-14, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-17, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-18, 0.0015, 0.0015, 0.0015, 0.0015, 2700.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-19, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-20, 0.00154, 0.00154, 0.0015, 0.0015, 1000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-21, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-24, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-25, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-26, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-27, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-28, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-08-31, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-01, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-02, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-03, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-04, 0.0015, 0.0015, 0.0015, 0.0015, 400.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-07, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-08, 0.0015, 0.0015, 0.0015, 0.0015, 900.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-09, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-10, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-11, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-14, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-15, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-16, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-17, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-18, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-21, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-22, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-23, 0.0015, 0.0015, 0.0015, 0.0015, 500.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-24, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-25, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-28, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-29, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-09-30, 0.0015, 0.0015, 0.0015, 0.0015, 4000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-01, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-02, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-05, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-06, 0.0015, 0.0015, 0.0015, 0.0015, 100.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-07, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-08, 0.0015, 0.0015, 0.0015, 0.0015, 3100.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-09, 0.00154, 0.00154, 0.0015, 0.0015, 3000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-12, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-13, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-14, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-15, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-16, 0.0015, 0.0015, 0.0015, 0.0015, 100.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-19, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-20, 0.0015, 0.0015, 0.0015, 0.0015, 100.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-21, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-22, 0.0015, 0.0015, 0.0015, 0.0015, 2300.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-23, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-26, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-27, 0.0015, 0.0015, 0.0015, 0.0015, 100.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-28, 0.0015, 0.0015, 0.0015, 0.0015, 2000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-29, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-10-30, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-02, 0.0015, 0.0015, 0.0015, 0.0015, 3000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-03, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-04, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-05, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-06, 0.0015, 0.0015, 0.0015, 0.0015, 61800.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-09, 0.0015, 0.0015, 0.0015, 0.0015, 100.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-10, 0.00154, 0.00154, 0.0015, 0.00154, 2200.0, 0.00154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-11, 0.0015, 0.0015, 0.0015, 0.0015, 300.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-12, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-13, 0.0015, 0.0015, 0.0015, 0.0015, 500.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-16, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-17, 0.0015, 0.0015, 0.0015, 0.0015, 200.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-18, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-19, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-20, 0.0015, 0.0015, 0.0015, 0.0015, 500.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-23, 0.0015, 0.0015, 0.0015, 0.0015, 0.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-24, 0.0015, 0.0015, 0.0015, 0.0015, 1000.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2015-11-25, 0.0015, 0.0015, 0.0015, 0.0015, 800.0, 0.0015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
